[n9] 分组 ['main', 'aug']；21 臂 × 9 对 + 基线 = 396 个条目；dry_run=False

组     臂                配对      唯一开关                           复用判定
aug   cb_func_only     2:1     --cb-channels cb_func          ▶ 新跑
aug   cb_func_only     2:2     --cb-channels cb_func          ♻ 复用
aug   meanpool         0:0     --meanpool                     ♻ 复用
aug   meanpool         0:1     --meanpool                     ▶ 新跑
aug   meanpool         0:2     --meanpool                     ▶ 新跑
aug   meanpool         1:0     --meanpool                     ▶ 新跑
aug   meanpool         1:1     --meanpool                     ♻ 复用
aug   meanpool         1:2     --meanpool                     ▶ 新跑
aug   meanpool         2:0     --meanpool                     ▶ 新跑
aug   meanpool         2:1     --meanpool                     ▶ 新跑
aug   meanpool         2:2     --meanpool                     ♻ 复用
aug   no_lvar          0:0     --lambda-var 0.0               ♻ 复用
aug   no_lvar          0:1     --lambda-var 0.0               ▶ 新跑
aug   no_lvar          0:2     --lambda-var 0.0               ▶ 新跑
aug   no_lvar          1:0     --lambda-var 0.0               ▶ 新跑
aug   no_lvar          1:1     --lambda-var 0.0               ♻ 复用
aug   no_lvar          1:2     --lambda-var 0.0               ▶ 新跑
aug   no_lvar          2:0     --lambda-var 0.0               ▶ 新跑
aug   no_lvar          2:1     --lambda-var 0.0               ▶ 新跑
aug   no_lvar          2:2     --lambda-var 0.0               ♻ 复用
aug   no_prior_drop    0:0     --prior-dropout 0.0            ♻ 复用
aug   no_prior_drop    0:1     --prior-dropout 0.0            ▶ 新跑
aug   no_prior_drop    0:2     --prior-dropout 0.0            ▶ 新跑
aug   no_prior_drop    1:0     --prior-dropout 0.0            ▶ 新跑
aug   no_prior_drop    1:1     --prior-dropout 0.0            ♻ 复用
aug   no_prior_drop    1:2     --prior-dropout 0.0            ▶ 新跑
aug   no_prior_drop    2:0     --prior-dropout 0.0            ▶ 新跑
aug   no_prior_drop    2:1     --prior-dropout 0.0            ▶ 新跑
aug   no_prior_drop    2:2     --prior-dropout 0.0            ♻ 复用
aug   feat_base        0:0     --feat-groups base             ♻ 复用
aug   feat_base        0:1     --feat-groups base             ▶ 新跑
aug   feat_base        0:2     --feat-groups base             ▶ 新跑
aug   feat_base        1:0     --feat-groups base             ▶ 新跑
aug   feat_base        1:1     --feat-groups base             ♻ 复用
aug   feat_base        1:2     --feat-groups base             ▶ 新跑
aug   feat_base        2:0     --feat-groups base             ▶ 新跑
aug   feat_base        2:1     --feat-groups base             ▶ 新跑
aug   feat_base        2:2     --feat-groups base             ♻ 复用
